State,Day,Month,Year,Hour,Minute,Crash_Type,Speed_Limit,Road_User,Gender,Age
WA,1,May,2016,8,0,Single,110,Driver,Male,40
QLD,1,May,2016,10,0,Single,100,Motor cycle rider,Male,60
QLD,1,May,2016,22,0,Single,40,Driver,Male,34
SA,2,May,2016,10,42,Single,80,Driver,Female,53
SA,2,May,2016,16,30,Multiple,70,Passenger,Male,83
VIC,2,May,2016,22,10,Multiple,110,Driver,Male,21
VIC,3,May,2016,19,45,Multiple,60,Driver,Male,40
NSW,4,May,2016,11,50,Multiple,80,Motor cycle rider,Male,46
VIC,4,May,2016,11,45,Multiple,-9,Driver,Female,87
QLD,4,May,2016,14,0,Multiple,100,Driver,Male,82
VIC,4,May,2016,18,34,Pedestrian,50,Pedestrian,Female,61
WA,5,May,2016,5,4,Multiple,110,Driver,Male,38
QLD,5,May,2016,8,0,Multiple,80,Passenger,Male,84
QLD,5,May,2016,8,0,Multiple,80,Passenger,Female,79
NSW,5,May,2016,16,0,Single,110,Passenger,Male,1
QLD,5,May,2016,20,0,Single,60,Passenger,Female,54
VIC,6,May,2016,18,0,Pedestrian,60,Pedestrian,Male,59
VIC,7,May,2016,10,55,Multiple,-9,Passenger,Male,31
WA,7,May,2016,15,35,Single,110,Driver,Male,70
VIC,7,May,2016,16,17,Single,-9,Motor cycle rider,Male,47
WA,8,May,2016,17,45,Multiple,70,Motor cycle rider,Female,53
WA,8,May,2016,22,30,Single,50,Driver,Male,45
VIC,9,May,2016,8,10,Single,100,Driver,Female,19
SA,9,May,2016,22,20,Single,110,Driver,Male,28
NSW,10,May,2016,8,43,Multiple,90,Driver,Male,30
WA,10,May,2016,10,30,Single,110,Driver,Male,59
VIC,10,May,2016,12,4,Pedestrian,70,Pedestrian,Female,43
NSW,10,May,2016,17,40,Pedestrian,80,Pedestrian,Male,75
SA,11,May,2016,6,55,Single,50,Bicyclist,Male,93
QLD,11,May,2016,18,0,Multiple,100,Driver,Male,58
SA,12,May,2016,13,49,Single,110,Driver,Male,39
WA,12,May,2016,14,57,Multiple,110,Passenger,Male,35
NSW,12,May,2016,17,30,Multiple,100,Driver,Male,52
NSW,12,May,2016,20,43,Pedestrian,50,Pedestrian,Male,40
TAS,12,May,2016,23,22,Single,100,Driver,Male,39
NSW,13,May,2016,5,15,Single,50,Driver,Male,76
NSW,13,May,2016,6,23,Multiple,70,Motor cycle rider,Male,49
WA,13,May,2016,6,53,Pedestrian,60,Pedestrian,Male,80
VIC,13,May,2016,7,28,Multiple,-9,Driver,Male,27
VIC,13,May,2016,22,40,Single,60,Driver,Female,19
NSW,13,May,2016,23,25,Single,100,Passenger,Male,68
NSW,13,May,2016,23,25,Single,100,Passenger,Male,16
NSW,14,May,2016,19,56,Multiple,80,Driver,Female,89
NSW,15,May,2016,15,30,Multiple,90,Motor cycle rider,Male,60
SA,15,May,2016,15,35,Single,50,Passenger,Female,92
NT,15,May,2016,17,0,Single,110,Passenger,Male,7
QLD,15,May,2016,20,0,Multiple,60,Motor cycle rider,Male,57
NSW,16,May,2016,4,30,Multiple,80,Passenger,Female,67
VIC,16,May,2016,6,55,Pedestrian,-9,Pedestrian,Male,63
VIC,16,May,2016,9,10,Multiple,80,Driver,Female,61
NSW,16,May,2016,10,49,Single,80,Driver,Male,49
NSW,16,May,2016,12,0,Single,110,Passenger,Female,90
VIC,16,May,2016,14,3,Single,80,Motor cycle rider,Male,54
QLD,16,May,2016,15,0,Multiple,-9,Driver,Male,26
QLD,16,May,2016,15,0,Multiple,-9,Driver,Male,78
QLD,16,May,2016,15,0,Multiple,80,Motor cycle rider,Male,30
NSW,17,May,2016,0,17,Multiple,100,Motor cycle rider,Male,51
VIC,17,May,2016,8,49,Multiple,-9,Driver,Male,38
VIC,18,May,2016,6,40,Multiple,80,Motor cycle rider,Male,36
QLD,18,May,2016,10,0,Pedestrian,50,Pedestrian,Female,85
QLD,18,May,2016,15,0,Multiple,60,Motor cycle rider,Male,55
WA,18,May,2016,19,50,Multiple,110,Driver,Male,38
WA,18,May,2016,19,50,Multiple,110,Driver,Female,32
NSW,20,May,2016,8,45,Pedestrian,60,Pedestrian,Female,60
NSW,20,May,2016,16,25,Multiple,110,Driver,Male,62
VIC,20,May,2016,18,15,Multiple,-9,Driver,Male,53
WA,20,May,2016,19,41,Single,100,Driver,Male,18
NSW,21,May,2016,0,20,Single,90,Driver,Male,23
NSW,21,May,2016,9,50,Multiple,80,Motor cycle rider,Male,36
QLD,21,May,2016,20,0,Multiple,80,Driver,Male,80
NSW,21,May,2016,21,45,Pedestrian,60,Pedestrian,Female,39
NSW,21,May,2016,21,57,Single,100,Driver,Male,27
NSW,22,May,2016,5,50,Single,80,Driver,Female,33
NSW,22,May,2016,6,0,Single,110,Driver,Male,24
QLD,22,May,2016,8,0,Single,100,Driver,Male,29
NSW,22,May,2016,18,20,Multiple,80,Driver,Male,48
VIC,22,May,2016,20,45,Single,50,Driver,Male,46
QLD,23,May,2016,10,0,Multiple,100,Driver,Female,23
QLD,23,May,2016,10,0,Multiple,100,Passenger,Female,18
VIC,23,May,2016,20,29,Multiple,50,Motor cycle rider,Male,32
SA,23,May,2016,20,55,Multiple,100,Passenger,Male,26
VIC,24,May,2016,8,37,Multiple,100,Driver,Male,48
NSW,24,May,2016,15,30,Multiple,50,Driver,Female,63
VIC,24,May,2016,20,15,Multiple,-9,Passenger,Male,17
VIC,24,May,2016,20,15,Multiple,-9,Driver,Male,19
QLD,24,May,2016,20,0,Pedestrian,60,Pedestrian,Male,50
QLD,25,May,2016,5,0,Pedestrian,60,Pedestrian,Male,79
NSW,25,May,2016,7,30,Single,60,Driver,Male,73
SA,25,May,2016,11,20,Multiple,50,Passenger,Female,82
VIC,26,May,2016,7,15,Pedestrian,60,Pedestrian,Male,48
SA,26,May,2016,11,48,Multiple,60,Driver,Male,67
NSW,26,May,2016,21,25,Pedestrian,50,Pedestrian,Male,71
VIC,26,May,2016,22,20,Single,-9,Driver,Male,0
NSW,27,May,2016,9,0,Pedestrian,50,Pedestrian,Male,96
NT,27,May,2016,18,20,Multiple,60,Driver,Male,34
NT,27,May,2016,18,20,Multiple,60,Passenger,Female,34
NSW,27,May,2016,22,0,Pedestrian,100,Pedestrian,Male,32
WA,28,May,2016,17,26,Multiple,80,Motor cycle rider,Male,42
VIC,29,May,2016,13,28,Single,100,Passenger,Female,15
NT,29,May,2016,15,6,Single,80,Motor cycle rider,Male,29
ACT,29,May,2016,15,15,Pedestrian,50,Pedestrian,Female,44
NSW,29,May,2016,16,0,Multiple,50,Driver,Male,62
QLD,29,May,2016,17,0,Single,-9,Passenger,Female,24
VIC,30,May,2016,13,20,Single,-9,Driver,Male,47
TAS,30,May,2016,13,0,Multiple,60,Driver,Male,79
NSW,30,May,2016,19,45,Single,50,Driver,Female,17
VIC,30,May,2016,20,45,Single,100,Driver,Female,45
QLD,31,May,2016,2,0,Single,50,Driver,Male,31
WA,31,May,2016,8,50,Multiple,70,Driver,Female,28
WA,31,May,2016,22,8,Single,80,Driver,Female,57
WA,1,May,2015,3,30,Single,110,Driver,Male,65
WA,1,May,2015,14,15,Single,110,Passenger,Male,28
QLD,1,May,2015,17,0,Single,60,Driver,Male,74
QLD,1,May,2015,17,0,Single,60,Passenger,Female,39
QLD,1,May,2015,17,0,Single,60,Passenger,Male,5
QLD,1,May,2015,17,0,Single,60,Driver,Male,49
QLD,1,May,2015,20,0,Single,60,Driver,Male,75
VIC,2,May,2015,0,50,Single,100,Driver,Male,31
QLD,2,May,2015,1,0,Single,60,Driver,Male,17
SA,2,May,2015,13,38,Multiple,80,Driver,Female,17
WA,2,May,2015,15,45,Multiple,110,Passenger,Male,26
NSW,2,May,2015,17,15,Single,100,Driver,Female,18
NSW,2,May,2015,17,15,Single,100,Passenger,Female,16
QLD,2,May,2015,19,0,Multiple,60,Passenger,Female,25
VIC,3,May,2015,10,11,Multiple,100,Driver,Male,19
NSW,3,May,2015,16,25,Multiple,50,Motor cycle rider,Male,23
ACT,3,May,2015,17,45,Single,60,Driver,Male,48
ACT,5,May,2015,18,0,Multiple,80,Motor cycle rider,Male,33
NSW,5,May,2015,19,0,Multiple,60,Motor cycle rider,Male,46
NSW,6,May,2015,11,40,Multiple,50,Driver,Male,93
NSW,6,May,2015,12,33,Multiple,50,Driver,Male,76
NT,6,May,2015,14,5,Single,110,Passenger,Female,14
NT,6,May,2015,14,25,Multiple,80,Motor cycle rider,Male,49
NT,6,May,2015,19,25,Pedestrian,100,Pedestrian,Female,36
VIC,7,May,2015,4,40,Single,80,Driver,Male,75
NSW,7,May,2015,23,45,Single,100,Passenger,Male,37
NSW,8,May,2015,5,20,Pedestrian,50,Pedestrian,Male,59
WA,8,May,2015,7,43,Pedestrian,110,Pedestrian,Male,72
QLD,8,May,2015,22,0,Single,100,Driver,Female,62
QLD,8,May,2015,22,0,Single,100,Passenger,Female,44
VIC,9,May,2015,0,5,Multiple,80,Passenger,Female,18
VIC,9,May,2015,0,5,Multiple,80,Driver,Male,19
VIC,9,May,2015,4,0,Multiple,80,Driver,Male,47
NSW,9,May,2015,9,35,Multiple,70,Driver,Male,22
WA,9,May,2015,12,12,Single,110,Passenger,Male,18
TAS,10,May,2015,3,50,Pedestrian,50,Pedestrian,Male,31
VIC,10,May,2015,14,46,Multiple,100,Bicyclist,Male,77
VIC,10,May,2015,15,20,Multiple,100,Driver,Female,52
NSW,10,May,2015,16,30,Multiple,50,Driver,Female,82
QLD,11,May,2015,15,0,Multiple,100,Motor cycle rider,Male,43
VIC,12,May,2015,9,7,Pedestrian,40,Pedestrian,Female,68
QLD,12,May,2015,11,0,Single,100,Motor cycle rider,Male,22
NSW,13,May,2015,7,55,Pedestrian,70,Pedestrian,Female,30
VIC,13,May,2015,14,0,Multiple,100,Driver,Male,73
NSW,14,May,2015,10,58,Multiple,80,Driver,Male,82
NSW,14,May,2015,16,15,Multiple,100,Driver,Female,18
NSW,14,May,2015,16,15,Multiple,100,Passenger,Female,19
VIC,14,May,2015,18,30,Multiple,100,Driver,Male,78
NSW,14,May,2015,19,0,Single,100,Passenger,Female,20
WA,15,May,2015,10,49,Multiple,50,Driver,Male,94
NSW,15,May,2015,23,10,Multiple,90,Driver,Male,38
NSW,15,May,2015,23,10,Multiple,90,Driver,Male,56
WA,16,May,2015,3,16,Single,110,Passenger,Female,21
NSW,16,May,2015,16,6,Single,100,Passenger,Male,54
QLD,16,May,2015,16,0,Single,60,Driver,Male,18
VIC,16,May,2015,17,15,Multiple,100,Driver,Male,19
NT,17,May,2015,12,35,Single,110,Passenger,Male,27
QLD,17,May,2015,15,0,Single,110,Driver,Male,43
SA,17,May,2015,19,28,Single,60,Driver,Female,21
NSW,18,May,2015,11,20,Multiple,60,Driver,Female,86
NSW,18,May,2015,17,0,Single,100,Driver,Male,33
SA,19,May,2015,0,53,Single,60,Driver,Male,23
NSW,19,May,2015,9,40,Multiple,90,Driver,Female,67
VIC,20,May,2015,2,40,Single,100,Driver,Female,29
SA,20,May,2015,18,36,Multiple,110,Driver,Female,51
VIC,20,May,2015,19,40,Single,110,Driver,Male,40
QLD,21,May,2015,1,0,Single,60,Passenger,Male,1
QLD,21,May,2015,5,0,Pedestrian,60,Pedestrian,Male,93
VIC,21,May,2015,12,30,Multiple,80,Driver,Male,49
NSW,21,May,2015,16,10,Multiple,100,Driver,Female,23
TAS,22,May,2015,2,59,Single,50,Motor cycle rider,Male,21
WA,22,May,2015,11,18,Multiple,110,Driver,Male,39
SA,22,May,2015,21,40,Single,100,Driver,Male,27
SA,23,May,2015,6,59,Multiple,60,Motor cycle rider,Male,56
NSW,23,May,2015,11,50,Multiple,100,Driver,Female,85
QLD,23,May,2015,17,0,Single,100,Driver,Male,20
VIC,23,May,2015,21,0,Single,100,Passenger,Male,16
NSW,24,May,2015,3,25,Pedestrian,80,Pedestrian,Male,25
QLD,24,May,2015,3,0,Single,100,Driver,Male,37
NSW,24,May,2015,14,25,Multiple,100,Motor cycle rider,Male,54
VIC,25,May,2015,13,40,Single,100,Driver,Male,55
QLD,25,May,2015,14,0,Single,100,Passenger,Female,44
NT,25,May,2015,22,30,Pedestrian,60,Pedestrian,Female,41
NSW,26,May,2015,13,10,Single,100,Motor cycle rider,Male,50
QLD,26,May,2015,13,0,Single,80,Driver,Male,75
SA,26,May,2015,16,0,Single,100,Motor cycle rider,Male,54
NSW,26,May,2015,22,15,Single,60,Passenger,Female,18
NSW,26,May,2015,22,15,Single,60,Passenger,Male,21
NSW,27,May,2015,17,20,Multiple,60,Passenger,Female,82
NSW,27,May,2015,17,24,Pedestrian,60,Pedestrian,Male,67
NSW,28,May,2015,7,46,Multiple,60,Bicyclist,Male,36
WA,28,May,2015,18,13,Single,90,Driver,Female,33
VIC,29,May,2015,2,10,Single,60,Driver,Male,33
SA,29,May,2015,9,0,Multiple,80,Driver,Female,32
NSW,29,May,2015,12,0,Multiple,110,Driver,Female,70
QLD,29,May,2015,13,0,Multiple,100,Driver,Male,24
QLD,29,May,2015,13,0,Multiple,100,Driver,Female,26
VIC,29,May,2015,17,10,Multiple,100,Driver,Female,19
NSW,29,May,2015,23,45,Multiple,60,Motor cycle rider,Male,16
NSW,30,May,2015,1,45,Multiple,80,Passenger,Male,20
WA,30,May,2015,9,31,Single,110,Passenger,Male,18
VIC,30,May,2015,16,45,Multiple,100,Driver,Male,18
VIC,30,May,2015,23,23,Multiple,50,Driver,Male,18
NSW,31,May,2015,4,33,Single,80,Driver,Female,18
QLD,31,May,2015,12,0,Single,60,Driver,Male,20
VIC,1,May,2014,10,10,Pedestrian,60,Pedestrian,Male,77
NSW,1,May,2014,11,20,Multiple,80,Motor cycle rider,Male,19
NSW,1,May,2014,13,30,Multiple,110,Passenger,Female,18
NSW,1,May,2014,16,9,Multiple,60,Bicyclist,Male,39
VIC,2,May,2014,6,44,Multiple,80,Driver,Male,21
SA,2,May,2014,18,15,Pedestrian,60,Pedestrian,Female,91
NSW,2,May,2014,19,30,Multiple,70,Motor cycle rider,Male,40
QLD,2,May,2014,19,0,Single,40,Driver,Male,34
VIC,2,May,2014,22,15,Multiple,70,Motor cycle rider,Male,22
QLD,3,May,2014,8,0,Multiple,60,Bicyclist,Male,61
NT,3,May,2014,10,0,Single,110,Driver,Male,46
SA,3,May,2014,17,40,Pedestrian,60,Pedestrian,Male,83
NSW,3,May,2014,19,10,Pedestrian,90,Pedestrian,Male,40
NSW,4,May,2014,11,57,Pedestrian,50,Pedestrian,Male,53
NT,4,May,2014,11,30,Single,130,Driver,Male,54
NSW,4,May,2014,16,14,Multiple,60,Passenger,Male,54
QLD,5,May,2014,12,0,Single,100,Motor cycle pillion passenger,Female,58
SA,5,May,2014,14,20,Multiple,100,Motor cycle rider,Male,19
QLD,5,May,2014,18,0,Single,70,Driver,Male,61
QLD,6,May,2014,13,0,Multiple,100,Driver,Male,22
QLD,6,May,2014,19,0,Single,60,Passenger,Male,20
NSW,7,May,2014,8,25,Multiple,80,Driver,Female,56
NSW,7,May,2014,10,25,Multiple,60,Driver,Male,61
SA,7,May,2014,11,15,Single,60,Driver,Male,70
VIC,7,May,2014,13,0,Multiple,100,Driver,Female,65
QLD,7,May,2014,17,0,Single,100,Passenger,Female,25
QLD,7,May,2014,19,0,Multiple,100,Driver,Male,23
VIC,8,May,2014,10,0,Pedestrian,60,Pedestrian,Male,75
NSW,8,May,2014,11,53,Multiple,80,Driver,Male,44
TAS,8,May,2014,12,35,Multiple,60,Driver,Female,77
VIC,8,May,2014,13,19,Pedestrian,60,Pedestrian,Female,67
NSW,9,May,2014,5,40,Single,100,Driver,Female,29
NSW,9,May,2014,13,47,Pedestrian,60,Pedestrian,Male,81
WA,9,May,2014,21,20,Single,70,Bicyclist,Male,38
QLD,10,May,2014,0,0,Single,60,Driver,Male,27
QLD,10,May,2014,0,0,Single,60,Passenger,Female,26
VIC,10,May,2014,8,15,Single,100,Driver,Male,23
WA,10,May,2014,16,30,Single,90,Motor cycle rider,Male,70
WA,11,May,2014,0,8,Single,70,Driver,Male,21
NSW,11,May,2014,7,45,Multiple,50,Bicyclist,Female,57
WA,11,May,2014,12,0,Multiple,70,Motor cycle rider,Male,46
NSW,12,May,2014,7,15,Multiple,110,Driver,Female,23
SA,12,May,2014,16,45,Single,110,Passenger,Male,23
NSW,14,May,2014,13,0,Single,100,Driver,Male,75
VIC,14,May,2014,18,10,Pedestrian,80,Pedestrian,Male,26
WA,15,May,2014,14,20,Multiple,40,Bicyclist,Female,43
NSW,15,May,2014,16,52,Pedestrian,60,Pedestrian,Female,39
NSW,16,May,2014,4,0,Single,110,Driver,Male,60
QLD,16,May,2014,11,0,Pedestrian,50,Pedestrian,Female,69
NT,16,May,2014,15,47,Multiple,130,Passenger,Female,36
NT,16,May,2014,15,47,Multiple,130,Passenger,Male,27
NT,16,May,2014,15,47,Multiple,130,Driver,Female,26
NT,16,May,2014,15,47,Multiple,130,Passenger,Male,40
NT,16,May,2014,15,47,Multiple,130,Passenger,Male,44
QLD,16,May,2014,16,0,Single,100,Driver,Male,61
QLD,17,May,2014,8,0,Multiple,80,Bicyclist,Male,58
NSW,17,May,2014,18,40,Single,60,Driver,Male,92
WA,17,May,2014,19,0,Multiple,100,Driver,Female,49
VIC,18,May,2014,20,45,Multiple,60,Passenger,Male,28
VIC,18,May,2014,20,45,Multiple,60,Driver,Male,31
VIC,19,May,2014,16,30,Multiple,100,Driver,Male,43
NSW,19,May,2014,19,5,Pedestrian,60,Pedestrian,Male,82
VIC,20,May,2014,5,30,Pedestrian,70,Pedestrian,Male,52
VIC,21,May,2014,19,20,Pedestrian,80,Pedestrian,Male,53
TAS,22,May,2014,12,45,Multiple,100,Motor cycle rider,Male,45
QLD,22,May,2014,17,0,Multiple,100,Driver,Female,24
QLD,22,May,2014,17,0,Multiple,100,Passenger,Male,33
QLD,22,May,2014,17,0,Multiple,100,Passenger,Male,0
QLD,22,May,2014,17,0,Multiple,100,Passenger,-9,0
VIC,22,May,2014,18,43,Pedestrian,50,Pedestrian,Male,23
NSW,24,May,2014,6,0,Single,50,Driver,Male,80
NSW,25,May,2014,2,15,Pedestrian,100,Pedestrian,Male,25
VIC,25,May,2014,6,15,Pedestrian,100,Pedestrian,Male,24
QLD,25,May,2014,10,0,Single,90,Driver,Female,69
TAS,25,May,2014,15,0,Single,50,Driver,Female,65
TAS,25,May,2014,15,0,Single,50,Passenger,Female,80
QLD,25,May,2014,16,0,Multiple,50,Motor cycle rider,Male,21
WA,26,May,2014,6,47,Pedestrian,60,Pedestrian,Male,20
VIC,26,May,2014,12,5,Multiple,60,Bicyclist,Male,54
SA,26,May,2014,12,35,Multiple,100,Driver,Male,90
VIC,26,May,2014,13,30,Single,100,Driver,Male,65
VIC,26,May,2014,15,25,Single,100,Driver,Female,66
SA,26,May,2014,22,5,Single,100,Driver,Male,28
NSW,27,May,2014,13,30,Single,100,Motor cycle rider,Male,49
VIC,27,May,2014,15,45,Multiple,70,Passenger,Male,10
QLD,27,May,2014,16,0,Multiple,100,Driver,Male,28
NSW,27,May,2014,17,30,Multiple,80,Motor cycle rider,Male,29
WA,27,May,2014,18,15,Multiple,80,Motor cycle rider,Male,60
NSW,28,May,2014,9,0,Pedestrian,100,Pedestrian,Female,78
QLD,28,May,2014,20,0,Multiple,110,Passenger,Male,25
NSW,28,May,2014,22,10,Multiple,100,Driver,Male,31
VIC,29,May,2014,6,56,Single,100,Driver,Male,40
NSW,29,May,2014,9,25,Single,110,Driver,Female,63
NSW,29,May,2014,9,25,Single,110,Passenger,Male,63
WA,29,May,2014,9,15,Single,110,Passenger,Male,73
VIC,29,May,2014,14,25,Multiple,100,Driver,Male,38
NSW,29,May,2014,16,38,Multiple,90,Driver,Female,94
NSW,30,May,2014,0,1,Multiple,110,Motor cycle rider,Female,23
VIC,30,May,2014,2,0,Single,100,Driver,Female,35
QLD,30,May,2014,16,0,Multiple,100,Driver,Male,60
NSW,31,May,2014,12,50,Multiple,80,Passenger,Male,58
VIC,31,May,2014,14,25,Multiple,80,Driver,Female,55
VIC,1,May,2013,13,30,Multiple,60,Driver,Male,77
SA,1,May,2013,13,35,Single,50,Driver,Female,84
VIC,1,May,2013,14,30,Multiple,100,Driver,Female,48
VIC,1,May,2013,14,30,Multiple,100,Driver,Female,64
NT,2,May,2013,6,40,Multiple,100,Bicyclist,Female,49
QLD,4,May,2013,7,0,Multiple,100,Driver,Female,61
QLD,4,May,2013,7,0,Multiple,100,Passenger,Female,77
VIC,4,May,2013,10,15,Multiple,80,Motor cycle rider,Male,60
VIC,4,May,2013,20,20,Single,100,Driver,Male,38
NSW,4,May,2013,23,0,Single,110,Driver,Male,17
WA,5,May,2013,5,40,Single,110,Other/-9,Male,27
TAS,5,May,2013,11,30,Multiple,100,Motor cycle rider,Male,54
QLD,5,May,2013,12,0,Single,50,Driver,Male,44
QLD,5,May,2013,15,0,Single,100,Driver,Male,49
QLD,6,May,2013,15,0,Multiple,100,Motor cycle rider,Male,53
VIC,6,May,2013,18,13,Pedestrian,60,Pedestrian,Male,88
SA,7,May,2013,8,50,Multiple,100,Driver,Male,58
QLD,7,May,2013,15,0,Multiple,80,Motor cycle rider,Male,76
NSW,8,May,2013,3,33,Single,60,Driver,Male,43
NSW,8,May,2013,9,45,Pedestrian,100,Pedestrian,Male,73
QLD,9,May,2013,6,0,Multiple,60,Driver,Male,62
VIC,9,May,2013,14,15,Single,100,Driver,Female,81
WA,10,May,2013,5,26,Multiple,50,Motor cycle rider,Male,74
VIC,10,May,2013,15,32,Single,70,Motor cycle rider,Male,40
WA,11,May,2013,3,10,Single,70,Driver,Male,29
WA,11,May,2013,3,10,Single,70,Passenger,Female,47
WA,11,May,2013,3,10,Single,70,Passenger,Male,21
QLD,11,May,2013,6,0,Multiple,100,Bicyclist,Female,37
QLD,11,May,2013,7,0,Single,60,Passenger,Female,15
QLD,11,May,2013,17,0,Single,80,Passenger,Male,21
NSW,12,May,2013,0,15,Single,100,Driver,Male,24
SA,12,May,2013,15,40,Single,50,Driver,Male,39
WA,12,May,2013,15,50,Multiple,50,Bicyclist,Male,63
VIC,12,May,2013,17,40,Pedestrian,50,Pedestrian,Male,86
NSW,12,May,2013,21,5,Single,80,Motor cycle rider,Male,28
NT,13,May,2013,12,5,Single,40,Motor cycle rider,Male,38
SA,13,May,2013,15,20,Multiple,60,Driver,Female,62
WA,14,May,2013,1,27,Single,80,Motor cycle rider,Male,30
NSW,14,May,2013,13,0,Single,100,Driver,Male,80
WA,14,May,2013,17,37,Single,90,Driver,Female,61
WA,15,May,2013,8,0,Single,110,Driver,Male,27
WA,15,May,2013,12,39,Single,60,Motor cycle rider,Male,44
QLD,15,May,2013,15,0,Multiple,100,Driver,Female,31
QLD,15,May,2013,19,0,Pedestrian,60,Pedestrian,Male,29
NSW,16,May,2013,10,5,Multiple,80,Driver,Female,26
WA,16,May,2013,15,10,Multiple,60,Motor cycle rider,Male,57
NSW,16,May,2013,16,50,Pedestrian,50,Pedestrian,Female,66
QLD,16,May,2013,19,0,Pedestrian,60,Pedestrian,Male,57
NSW,17,May,2013,10,50,Single,90,Motor cycle rider,Male,69
NSW,17,May,2013,20,50,Single,100,Driver,Female,43
QLD,18,May,2013,7,0,Multiple,60,Driver,Male,58
NSW,18,May,2013,11,50,Single,60,Driver,Female,21
QLD,18,May,2013,11,0,Single,100,Driver,Male,41
QLD,19,May,2013,15,0,Single,110,Passenger,Male,40
WA,19,May,2013,15,50,Single,50,Driver,Female,89
WA,19,May,2013,16,0,Single,110,Driver,Male,85
WA,19,May,2013,16,0,Single,110,Passenger,Female,85
QLD,19,May,2013,17,0,Single,70,Driver,Male,51
NSW,19,May,2013,21,30,Single,100,Driver,Male,41
SA,20,May,2013,14,1,Pedestrian,50,Pedestrian,Male,72
NSW,20,May,2013,19,20,Single,100,Driver,Female,19
WA,20,May,2013,22,15,Pedestrian,50,Pedestrian,Male,41
NSW,21,May,2013,8,45,Multiple,60,Motor cycle rider,Male,62
QLD,21,May,2013,9,0,Multiple,100,Driver,Male,78
NSW,21,May,2013,12,15,Multiple,100,Passenger,Female,65
WA,21,May,2013,19,30,Single,70,Driver,Male,47
VIC,22,May,2013,5,59,Multiple,60,Motor cycle rider,Male,27
WA,22,May,2013,9,52,Pedestrian,100,Pedestrian,Female,38
NT,22,May,2013,11,5,Pedestrian,110,Pedestrian,Male,32
NT,22,May,2013,11,5,Pedestrian,110,Pedestrian,Female,30
QLD,22,May,2013,12,0,Multiple,60,Driver,Female,68
WA,22,May,2013,12,15,Single,110,Driver,Male,55
NSW,22,May,2013,16,45,Single,50,Passenger,Female,80
WA,22,May,2013,16,5,Single,60,Other/-9,Female,60
NSW,22,May,2013,21,45,Multiple,100,Driver,Female,26
WA,22,May,2013,22,30,Multiple,110,Passenger,Male,26
WA,22,May,2013,22,30,Multiple,110,Driver,Male,45
VIC,23,May,2013,6,55,Pedestrian,60,Pedestrian,Female,79
QLD,23,May,2013,6,0,Single,80,Driver,Male,67
QLD,23,May,2013,15,0,Multiple,60,Motor cycle rider,Male,56
NSW,23,May,2013,19,45,Pedestrian,50,Pedestrian,Male,85
NSW,23,May,2013,23,27,Single,60,Driver,Male,63
QLD,24,May,2013,3,0,Single,100,Motor cycle rider,Male,44
QLD,24,May,2013,21,0,Single,50,Passenger,Male,23
QLD,25,May,2013,10,0,Single,100,Driver,Female,23
TAS,25,May,2013,10,10,Single,60,Driver,Male,82
NSW,25,May,2013,16,0,Single,100,Motor cycle rider,Male,31
QLD,25,May,2013,22,0,Pedestrian,100,Pedestrian,Female,43
QLD,25,May,2013,23,0,Pedestrian,80,Pedestrian,Male,23
WA,26,May,2013,1,5,Single,80,Driver,Male,22
WA,26,May,2013,7,30,Multiple,60,Other/-9,Male,71
NSW,26,May,2013,12,45,Multiple,50,Motor cycle rider,Male,17
WA,26,May,2013,20,0,Pedestrian,100,Pedestrian,Male,41
WA,26,May,2013,21,2,Pedestrian,70,Pedestrian,Male,74
QLD,26,May,2013,22,0,Single,100,Driver,Male,21
VIC,27,May,2013,8,45,Multiple,60,Bicyclist,Male,11
NSW,28,May,2013,7,0,Multiple,100,Driver,Male,25
NSW,28,May,2013,7,0,Multiple,100,Passenger,Female,22
VIC,28,May,2013,20,30,Single,100,Driver,Male,46
QLD,29,May,2013,8,0,Single,80,Driver,Female,19
QLD,29,May,2013,23,0,Single,100,Passenger,Male,15
VIC,31,May,2013,1,20,Single,60,Driver,Male,20
NSW,31,May,2013,11,30,Pedestrian,50,Pedestrian,Male,57
VIC,31,May,2013,11,50,Multiple,100,Driver,Male,62
QLD,31,May,2013,13,0,Multiple,100,Motor cycle rider,Male,22
VIC,31,May,2013,15,30,Single,110,Driver,Male,66
VIC,31,May,2013,17,45,Pedestrian,80,Pedestrian,Male,64
VIC,31,May,2013,20,40,Pedestrian,60,Pedestrian,Male,83
QLD,31,May,2013,20,0,Single,80,Driver,Male,18
WA,1,May,2012,11,58,Single,80,Bicyclist,Male,79
VIC,1,May,2012,15,25,Single,100,Driver,Male,54
VIC,1,May,2012,16,5,Multiple,100,Bicyclist,Male,56
QLD,1,May,2012,18,0,Multiple,60,Driver,Female,53
NSW,2,May,2012,15,15,Pedestrian,40,Pedestrian,Female,38
QLD,2,May,2012,15,0,Pedestrian,60,Pedestrian,Male,14
SA,3,May,2012,3,55,Single,100,Driver,Female,39
SA,3,May,2012,8,40,Multiple,80,Driver,Female,84
NSW,3,May,2012,10,45,Single,60,Motor cycle rider,Male,61
VIC,3,May,2012,12,52,Pedestrian,60,Pedestrian,Female,89
VIC,3,May,2012,13,30,Single,60,Passenger,Male,18
VIC,3,May,2012,13,30,Single,60,Passenger,Male,18
VIC,3,May,2012,13,30,Single,60,Driver,Male,19
